id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F001,API /api/quote,Upload & quote a BOM,"As an estimator, I want to upload a client BOM (PDF or XLSX) and receive a draft quotation, so that I don't price every line by hand.","Accepts multipart form (file + tier + customer), runs parse->extract->normalize->match->price->quote and returns {quotation, matched}. Missing file returns 400 with a clear message. Empty/garbled file yields zero lines, not a crash. The pipeline takes ~30-60s so the contract must let the caller show a designed loading state (ux:states-are-features).",apps/bom-quotation/server/src/app.ts:34,tested,"POST /api/quote multipart bom.xlsx + missing-file edge case","pass: 15/16 matched returned; missing file -> 400",none,,,,
F002,pipeline/parse,Parse PDF BOM (liteparse),"As the system, I want to extract text from a PDF BOM so a contractor's emailed PDF can be quoted.","new LiteParse({outputFormat:'markdown'}).parse(path) -> result.text. Text-based PDFs extract cleanly; scanned PDFs route through bundled Tesseract OCR. Returns markdown for the extractor.",apps/bom-quotation/server/src/pipeline/parse.ts:30,tested,"bun run quote data/sample-bom/bom.pdf","pass: liteparse text -> 15/16 matched",none,,,,
F003,pipeline/parse,Parse XLSX/CSV BOM (SheetJS),"As the system, I want to read a spreadsheet BOM as a cell grid so an Excel BOM can be quoted.","read() first sheet -> sheet_to_json header:1 -> string grid, rendered as TSV for the extractor. .xlsx/.xls/.csv route here; everything else routes to PDF.",apps/bom-quotation/server/src/pipeline/parse.ts:22,tested,"bun run quote data/sample-bom/bom.xlsx","pass: grid -> 15/16 matched",none,,,,
F004,pipeline/extract,Extract orderable line items (LLM),"As an estimator, I want only the real supply lines pulled out of a messy BOM, so headers/totals/notes don't become quote lines.","LLM returns {description, qty, unit, code} per orderable line; drops headers, section titles, column headers, subtotals, totals, and free-text notes. Empty content -> [] (no crash).",apps/bom-quotation/server/src/pipeline/extract.ts:32,tested,"pipeline run on 16-line sample BOM with header+notes rows","pass: 16 orderable lines extracted, header/notes/totals dropped",none,,,,
F005,pipeline/normalize,Re-enrichment / normalization,"As an estimator, I want trade shorthand expanded and specs parsed, so the matcher and I read the same canonical line.","Expands Cu/PVC/SP/ELCB/SPN/MCB/DB etc.; parses cores/csa/rating/poles/curve/kA/size/watt/ways; canonicalises units to nos/m/set/lot; coil->100m via unitFactor; qty defaults to 1.",apps/bom-quotation/server/src/pipeline/normalize.ts:63,tested,"pipeline run; inspected normalized text + specs in summary","pass: '3C x 2.5 sqmm Cu/PVC'->canonical; coil->100m; specs parsed",none,,,,
F006,pipeline/match,Match line to catalog (samesake),"As an estimator, I want each line resolved to a catalog part with a confidence, so I trust auto-matches and review the rest.","samesake entity resolution: cosine over the description embedding + pg_trgm over the code/alias searchkey -> ranked candidates with combined confidence; candidate mapped back to the catalog part by description.",apps/bom-quotation/server/src/pipeline/match.ts:38,tested,"pipeline run on sample BOM (real gemini + samesake + Postgres)","pass: 15/16 lines matched, off-catalog item unmatched",none,,,,
F007,pipeline/match,Spec gating + confidence buckets,"As an estimator, I want a 32A line to never silently match a 40A part, so a wrong-variant quote is impossible.","Hard specs (ratingA, poles, csaMm2, cores, sizeMm, watt, ways) must not conflict (poles canonicalised SP/DP/TP/TPN/4P). top>=autoLink AND compatible -> matched; >=suggest -> review; else unmatched. If specs eliminate all, surface raw for review.",apps/bom-quotation/server/src/pipeline/match.ts:46,tested,"sample BOM: 18W vs 24W panel, 32A SP/DP/TP breakers","pass: 18W picked over 24W (watt gate); breakers matched after poles canonicalisation",none,,,,
F008,pipeline/price,Pricing-rules engine,"As an estimator, I want every price to come from the company rules with a visible trace, so quotes are auditable and consistent.","Per line: list * (1 + categoryMarkup + brandMargin) * (1 - tierDiscount - best qtyBreak), rounded to priceDecimals; priceTrace records each rule. Reads only data/pricing-rules.json (lift-and-shift).",apps/bom-quotation/server/src/pipeline/price.ts:16,tested,"quote-output.json line ACL-3C-2.5-CU","pass: list 410 -> unit 321.44 (-2% brand, -18% tier, -2% qty>=200), trace present",none,,,,
F009,pipeline/quote,Assemble quotation + totals,"As an estimator, I want subtotal, savings, taxes and grand total computed, plus unresolved lines flagged, so I know what's final.","Prices matched lines; subtotal, discountTotal, each tax on subtotal, grandTotal; validUntil = today+validityDays; unresolved surfaced separately; notes warn about review count + lead time.",apps/bom-quotation/server/src/pipeline/quote.ts:13,tested,"quote-output.json totals","pass: VAT 18% = 43,471.71, grand LKR 284,981.21, 1 unresolved flagged",none,,,,
F010,pipeline/quote,Render quotation PDF,"As an estimator, I want a branded PDF I can send the client, so the quote looks professional.","pdf-lib A4: letterhead, quote no/date/validity, customer+tier, line table with per-line price trace, totals block, notes, footer. WinAnsi-safe. Paginates on overflow.",apps/bom-quotation/server/src/pipeline/quote.ts:57,tested,"qlmanage render of data/quote-output.pdf (visual)","pass: valid PDF-1.7; professional layout, letterhead+table+traces+totals legible",none,,,,
F011,API /api/match,Manual catalog search for a line,"As an estimator reviewing a low-confidence line, I want to search the catalog by text, so I can pick the right part myself.","POST {text, limit?} -> {candidates: MatchCandidate[]} via samesake match. Recognition over recall: ranked parts to choose from (ux:cut-the-load).",apps/bom-quotation/server/src/app.ts:52,tested,"POST /api/match {text:'32A single pole mcb'}","pass: candidates returned (top ABB/SCH 32A SP)",none,,,,
F012,API /api/confirm,Teach the matcher,"As an estimator, I want my override to improve future matches, so the system learns our catalog vocabulary.","POST {queryText, chosenCode} resolves the code to its entity id and calls matcher.confirm; null/unknown -> no-op success. Feedback persists so similar text ranks the confirmed part higher.",apps/bom-quotation/server/src/app.ts:58,retested-pass,"POST /api/confirm {queryText, chosenCode}","fail: 500 Internal Server Error",logic,"Passed the catalog code as chosenEntityId, but samesake confirm does BigInt(chosenEntityId) (packages/server/src/core/match.ts:402) -> throws on a non-numeric code -> 500. The decline branch passed declinedEntityId:'' -> same crash.","Added a code->entity_id index (buildCodeIndex queries entity_part external_id/id after setup); /api/confirm now resolves chosenCode->entity id then confirms, and returns a no-op success for null/unknown codes (dropped the broken decline branch).","apps/bom-quotation/server/src/catalog.ts:86, apps/bom-quotation/server/src/app.ts:58","pass: real code -> {ok:true,confirmed:SCH-MCB-32-SP-C}; null -> {ok:true,confirmed:null}"
